site_name,station,latitude,longitude,elevation,hx_azimuth,hy_azimuth,hz_azimuth,hx_sensor,hy_sensor,hz_sensor,ex_length,ey_length,ex_azimuth,ey_azimuth,ex_num,ey_num,hx_num,hy_num,hz_num,n_chan,sampling_rate,instrument_id,collected_by,notes,mtft_file,start_date,stop_date,type,quality,
mshC010,mshC010,46.93361,-122.19917,473.59,15.5,105.5,90,2314,2274,2884,100,85,15.5,105.5,4,5,1,2,3,5,1024,ZEN24,USGS,hx_nsamples is off; hz_nsamples is off; ex_nsamples is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; hy_nsamples is off; ey_nsamples is off; hx_nsamples is off; hz_std is large; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; hz_std is large; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off;,TRUE,2014-07-29T20:00:02 UTC,2014-07-31T19:37:05 UTC,wb,5,
mshC011,mshC011,46.93722,-122.05611,472.15,15.5,105.5,90,2844,2274,2264,100,100,15.5,105.5,4,5,1,2,3,5,1024,ZEN25,USGS,hz_nsamples is off; ex_nsamples is off; hx_nsamples is off; hy_nsamples is off; hz_nsamples is off; ey_nsamples is off; ex_nsamples is off; ey_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off;,TRUE,2014-07-31T19:00:02 UTC,2014-08-02T16:10:38 UTC,wb,5,
mshC012,mshC012,47.00917,-121.96222,947.37,15.5,105.5,90,2524,2474,2464,50,51,10.5,100.5,4,5,1,2,3,5,4096,ZEN23,OSU,"C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large;C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ey_start is off; hx_start is off; ex_nsamples is off; ex_std is large; hx_std is large; hy_std is large; hz_std is large;C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ex_start is off; ex_nsamples is off; ey_std is large; hx_std is large; hy_std is large; hz_std is large;C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ey_start is off; ey_nsamples is off; ex_std is large; hx_std is large; hy_std is large; hz_std is large;C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ey_start is off; hx_start is off; hy_start is off; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large;C012 # near river, old growth, N T dipole, Ex 40 az, Ey 130 az, mosquito land METADATA , if you like Pina Coladas.; ex_start is off; ex_nsamples is off; ey_std is large; hx_std is large; hy_std is large; hz_std is large;forest on edge of wilderness, strong noise, no idea why. rotations ex 40 ey 130 degrees; hy_start is off; hy_nsamples is off; hy_std is large;forest on edge of wilderness, strong noise, no idea why. rotations ex 40 ey 130 degrees; ey_start is off; hz_start is off; ey_nsamples is off; hz_nsamples is off; ex_std is large; hx_std is large; hy_std is large;forest on edge of wilderness, strong noise, no idea why. rotations ex 40 ey 130 degrees; ex_start is off; ex_nsamples is off; ey_std is large; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hy_start is off; hz_start is off; hy_nsamples is off; hz_nsamples is off; hx_std is large; hy_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hz_start is off; hz_nsamples is off; hx_std is large; hy_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_nsamples is off; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; ex_start is off; ex_nsamples is off; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; ex_start is off; ex_nsamples is off; ex_std is large; hx_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; ey_start is off; hy_start is off; hz_start is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; ex_start is off; ex_nsamples is off; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hy_start is off; hy_nsamples is off; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; hx_std is large; hy_std is large; hz_std is large;C012 - Top of steep ridge. 150 m from solar powered Met station. Strong 60 Hz noise. Swapped Ch4 and Ch5 coils. Rotations Ex 355 Ey 85.; ey_start is off; hx_start is off; ey_nsamples is off; hx_nsamples is off; hy_std is large; hz_std is large;",TRUE,2015-08-13T01:59:46 UTC,2015-10-12T06:27:52 UTC,wb,5,coils/dipoles from last of 3 deployments. notes from only 2nd
mshC013,mshC013,46.98389,-121.83944,680.78,15.5,105.5,90,2394,2434,2444,50,61,5.5,95.5,4,5,1,2,3,5,4096,ZEN21,OSU,"C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ey_start is off; hz_start is off; ex_nsamples is off;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ex_start is off; ex_nsamples is off;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ey_nsamples is off; hx_std is large;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ex_start is off; ex_nsamples is off;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ex_start is off; ex_nsamples is off;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; hx_std is large;C013 - L-diopole, heavy vegetatiion, river is approx. 70 m away from the site METADATA , swampy ground along Ey; ey_start is off; hy_start is off; hz_start is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off;",TRUE,2015-08-12T01:59:46 UTC,2015-08-14T07:47:12 UTC,wb,5,ok
mshD010,mshD010,46.90444,-121.94611,1264.29,15.5,105.5,90,2404,2414,2424,54,58,340.5,70.5,4,5,1,2,3,5,4096,ZEN23,OSU,"D010 - Forest on high plateau. Rotations Ex 325 Ey 55.; ey_std is large;D010 - Forest on high plateau. Rotations Ex 325 Ey 55.; ex_start is off; ex_nsamples is off; ey_std is large;D010 - Forest on high plateau. Rotations Ex 325 Ey 55.;D010 - Forest on high plateau. Rotations Ex 325 Ey 55.; ey_std is large;D010 - Forest on high plateau. Rotations Ex 325 Ey 55.; hy_start is off; hz_start is off; hy_nsamples is off; hz_nsamples is off; ey_std is large;D010 - Forest on high plateau. Rotations Ex 325 Ey 55.; ey_std is large;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.; ex_start is off; ex_nsamples is off;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.; hx_start is off; hy_start is off; hz_start is off; hx_nsamples is off; hy_nsamples is off; hz_nsamples is off; ey_std is large;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.; ey_start is off; hz_start is off; ey_nsamples is off; hz_nsamples is off; ey_std is large;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.; ex_start is off; ex_nsamples is off;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.; ey_start is off; hy_start is off; ey_nsamples is off; hy_nsamples is off; ey_std is large;D010 - Sparce forest on plateau, 2nd try after two days of poor data, Ex 325 Ey 55.;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57; ex_start is off; ex_nsamples is off;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57; ex_nsamples is off;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57; ey_start is off; hx_start is off; hz_start is off; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; hy_std is large;D010 - repeat near previous location, sparse forest on ridge top. rotations Ex 327, Ey 57; ex_nsamples is off;",TRUE,2015-08-29T01:59:46 UTC,2015-10-04T14:19:32 UTC,wb,5,ok
mshD011,mshD011,46.88722,-121.60806,1205.46,15.5,105.5,90,2374,2384,2514,100,100,5.5,95.5,4,5,1,2,3,5,4096,ZEN18,OSU,D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.;D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.; ex_start is off; ex_nsamples is off;D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.; ex_start is off; ex_nsamples is off;D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.;D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.; ex_start is off; ex_nsamples is off;D011 - Old growth forest on slope down to North. Rotations Ex 350 Ey 80.; ex_start is off; ex_nsamples is off;,TRUE,2015-08-06T01:59:46 UTC,2015-08-07T14:19:38 UTC,wb,5,Zen 18 - channel flip
mshE010,mshE010,46.86167,-122.19278,427.72,15.5,105.5,90,2294,2264,2844,95,92,15.5,105.5,4,5,1,2,3,5,1024,ZEN24,USGS,ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; hx_nsamples is off; hx_std is large; hy_std is large; hz_std is large; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off; hx_std is large; hy_std is large; hz_std is large; ey_nsamples is off; hx_nsamples is off; hy_nsamples is off; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; hx_std is large; hy_std is large; hz_std is large; ey_nsamples is off; hy_nsamples is off; ex_std is large; hx_std is large; hy_std is large; hz_std is large; hx_nsamples is off; hy_nsamples is off; hz_nsamples is off; ex_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large; ex_nsamples is off; ex_std is large; ey_std is large; hx_std is large; hy_std is large; hz_std is large;,TRUE,2014-08-03T01:00:02 UTC,2014-08-04T15:44:47 UTC,wb,5,
mshE011,mshE011,46.85889,-122.06028,772.58,15.5,105.5,90,2284,2844,2314,99.8,99.4,15.5,105.5,4,5,1,2,3,5,1024,ZEN24,USGS,hy_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hy_nsamples is off; ex_nsamples is off; ex_nsamples is off; hx_nsamples is off; ex_nsamples is off; hx_nsamples is off; hz_nsamples is off; hy_nsamples is off; hz_nsamples is off; hx_std is large; ex_nsamples is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off; hz_nsamples is off; ex_nsamples is off; ex_nsamples is off; ex_nsamples is off; ey_nsamples is off; hx_nsamples is off; hz_nsamples is off; ex_nsamples is off; hx_nsamples is off; hy_nsamples is off;,FALSE,2014-08-01T01:00:02 UTC,2014-08-02T18:19:54 UTC,wb,5,I don't have this site in my list
mshE012,mshE012,46.84389,-121.92889,787.17,15.5,105.5,90,2414,2404,2424,73,97,46.5,136.5,4,5,1,2,3,5,256,ZEN21,OSU,"N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ey_nsamples is off; hx_nsamples is off; hy_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; hy_std is large;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; hy_std is large; hz_std is large;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ey_nsamples is off; hx_nsamples is off; hy_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_start is off; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ex_start is off; ex_nsamples is off;N at 31 degrees. A spacing 73x 97y. this site shall be remote reference for the upcoming goat mt backpacking trip, and has a modified schedul; ey_start is off; hy_start is off; hz_start is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; ey_start is off; hz_start is off; ey_nsamples is off; hz_nsamples is off; hy_std is large;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hy_std is large;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hy_start is off; hy_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; ey_start is off; hy_start is off; hz_start is off; ey_nsamples is off; hy_nsamples is off; hz_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hy_start is off; hy_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hx_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hx_nsamples is off; hy_nsamples is off; hz_nsamples is off; hy_std is large; hz_std is large;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 31; ex_start is off; ex_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; hz_start is off; ex_nsamples is off;E012 - dense forest in canyon just outside Mt Rainier NP. Previously ran with daytime schedule, now using standard schedule. Rotations Ex 3; ex_start is off; ex_nsamples is off;",TRUE,2015-08-18T14:19:46 UTC,2015-08-28T14:19:38 UTC,wb,5,ok
mshE013,mshE013,46.87028,-121.89833,1625.16,15.5,105.5,90,2524,2474,2464,97,100,15.5,105.5,4,5,1,2,3,5,4096,ZEN18,OSU,E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; hx_start is off; hz_start is off; hx_nsamples is off; hz_nsamples is off; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ey_start is off; hx_start is off; ey_nsamples is off; hx_nsamples is off; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large; hy_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ey_start is off; ey_nsamples is off; ex_std is large;E013 - Lightly forested hillside. Rotations Ex 0 Ey 90.; ex_std is large;,TRUE,2015-09-02T01:59:46 UTC,2015-09-04T14:19:38 UTC,wb,5,Zen 18 - channel flip
